analysisId,nctId,HYPERLINK,pValue,statisticalMethod,studyType,EARLY_PHASE1,PHASE1,PHASE2,PHASE3,PHASE4,outcomeTitle,outcomeType,groupDescription,conditionIds,briefTitle,has_less_than,N,model,I,R,C,JAB,FINDING,NOTES
8326d8bc2ecbf84e92dbf8390c6a0372,NCT04547192,NCT04547192,0.006,Linear regression,INTERVENTIONAL,0,0,0,0,0,Appropriate Use of Key Performance Indicators in Initial Assessment and Management of the Injured at Non-tertiary Hospitals in Ghana,PRIMARY,Airway assessed,D000066553,Improving Initial Management of the Injured at Ghanaian District and Regional Hospitals With a Trauma Intake Form,FALSE,4077,linear_regression,NA,NA,NA,1.465700146,"There is a statistically significant association between the introduction of a Trauma Intake Form (TIF) and increased odds of having key performance indicators (KPIs) - airway assessment - measured at the initial assessment of injured patients. Specifically, following the introduction of the TIF, the odds of having KPIs - airway assessment - measured were 25.29 times higher than the odds prior to its introduction. ",
65b8f9e7405a85ecffd657f84a74f6f5,NCT04381481,NCT04381481,0.01,Linear regression,INTERVENTIONAL,0,0,0,0,0,Number of Teaspoons of Added Sugar Participants Think the Fruit Drink Contains (Fruit Drink Experimental Task 1),SECONDARY,Beverages with claim compared to control beverage,D063766,Studying the Impact of Product Packaging in a Virtual Store Environment,TRUE,1515,linear_regression,NA,NA,NA,1.413864582,"There is a statistically significant association between the presence of nutrition claims on a fruit drink and a higher perceived percentage of fruit juice content. Specifically, beverages with claims such as ""No Artificial Sweeteners"" were believed to have a higher mean percentage of fruit juice (46.3%) compared to a control beverage with no claim (35.4%). ",
796ba78111d9dc7ef5dc0773b2e8d86a,NCT04381481,NCT04381481,0.01,Linear regression,INTERVENTIONAL,0,0,0,0,0,Perceived Appeal of Fruit Drink (Fruit Drink Experimental Task 1),SECONDARY,beverages with claim compared to control beverage,D063766,Studying the Impact of Product Packaging in a Virtual Store Environment,TRUE,2192,linear_regression,NA,NA,NA,1.699526968,"There is a statistically significant association between the presence of nutrition claims on a fruit drink and a higher perceived appeal of the drink. Specifically, the mean perceived appeal score for a beverage with the claim ""100% Vitamin C daily value"" was 4.3, compared to a score of 4.1 for the control beverage with no claim. ",
a4752041dc6488b13b258df0ade24d0e,NCT04381481,NCT04381481,0.01,Logistic regression,INTERVENTIONAL,0,0,0,0,0,Percent of Participants Who Selected Apple-flavored Fruit Drink (Fruit Drink Experimental Task 1),SECONDARY,beverages with claim compared to control beverage,D063766,Studying the Impact of Product Packaging in a Virtual Store Environment,TRUE,2219,logistic_regression,NA,NA,NA,1.709930421,There is a statistically significant difference in the percentage of participants who selected the apple-flavored fruit drink between the claim beverages and the control beverage. The raw percentages show that all three claim beverages resulted in a higher selection rate compared to the control beverage.,
cb6ea43d028742a55ec952e30aa8df30,NCT04364165,NCT04364165,0.01,Logistic regression,INTERVENTIONAL,0,0,0,0,0,HIV Testing Uptake,PRIMARY,NA,D000163; D015658,Effect of U=U Messaging on HIV in South Africa,FALSE,1048,logistic_regression,NA,NA,NA,1.177079812,"There is a statistically significant association between the use of U=U messaging and increased odds of HIV testing uptake. Specifically, participants who received U=U messaging had 2 times the odds of getting an HIV test compared to those who received standard of care messaging. ",
efde5b9bf4c91875d49aaa088dc2e9d1,NCT04332614,NCT04332614,0.0055,Logistic regression,OBSERVATIONAL,0,0,0,0,0,Email Opened: Control vs. Less-is-better vs. Social Proof vs. Endowment,SECONDARY,NA,NA,Email Campaign to Increase Uptake of myGeisinger,FALSE,4191,logistic_regression,NA,NA,NA,1.373895908,"There is a statistically significant association between receiving an ""Endowment / Decision Staging"" email and decreased odds of the email being opened. Specifically, patients who received the Endowment / Decision Staging email had 0.82 times the odds of opening the email compared to those who received the control email. The analysis was conducted 32-35 days post-intervention.",
5c6ec2ab1fcf4b782c53b2f41fbb8720,NCT04323137,NCT04323137,0.0035,Logistic regression,INTERVENTIONAL,0,0,0,0,0,Flu Vaccination Rate,PRIMARY,"This analysis compared all groups that were informed they were high risk (High risk only, High risk based on medical records, High risk based on algorithm) to control patients who were not sent a message.

Null hypothesis: informing patients they are high risk for flu and flu-related complications does not increase flu vaccination rate; Alternative hypothesis: informing patients they are high risk for flu and flu-related complications increases flu vaccination rate",NA,Encouraging Flu Vaccination Among High-Risk Patients Identified by ML,FALSE,38598,logistic_regression,NA,NA,NA,2.765735839,"Informing patients that are high risk only (i.e no specification of why they are high risk), high risk based on medical records, high risk based on algorithm they are high risk for flu and flu-related complications increases flu vaccination rate.",
6332ecd8706220c19e116017f10f661d,NCT04289623,NCT04289623,0.007,Logistic regression,OBSERVATIONAL,0,0,0,0,0,Rate of Enrollment (14 Days),PRIMARY,We conducted a logistic regression among the previously enrolled group with the standard email as the reference group.,NA,Assessing the Impact of myHealth Rewards Program-related Communications on Enrollment: Replication,FALSE,13021,logistic_regression,NA,NA,NA,3.007033828,"Based on the statistical analysis, there is a statistically significant association between the type of email received and the odds of enrolling in the myHealth Rewards program. Specifically, patients who received a Loss Frame Email had higher odds of enrolling in the program within 14 days compared to those who received a Standard Email.",
eec7a54cb28e2815a280348a1f9be879,NCT04196777,NCT04196777,0.01,Logistic regression,INTERVENTIONAL,0,0,0,0,0,Percentage of Cases Who Were Re-admitted to the Hospital or Presented to an Emergency Department or an Urgent Care Clinic,SECONDARY,"To model this secondary outcome across all sites, we used a logistic regression model and a set of four explanatory variables: time, a binary indicator for an observation occurring within the intervention phase, an interaction term between these two main effects (time and intervention), and a binary indicator for the primary outcome.",D014570; D064420,Audit-and-feedback to Improve Antimicrobial-prescribing Among Urologists,TRUE,1797,logistic_regression,NA,NA,NA,1.539310743,"There is a statistically significant association between an audit-and-feedback program and the odds of a re-admission or an emergency department visit. Specifically, post intervention cases in audit-and-feedback program had higher odds of a return visit for any reason within 30 days of a urologic procedure compared to the pre-intervention period.",
8d01a7042c045b7cbb33fbf6be312f3a,NCT04172701,NCT04172701,0.0062,Mann-Whitney,OBSERVATIONAL,0,0,0,0,0,All-cause Healthcare Resource Utilization (HCRU): Number of Inpatient Visits (Per Person Per Month),SECONDARY,NA,D029424,A Study in South Korea Using Medical Records to Look at Different Treatments for Chronic Obstructive Airway Disease (COPD),FALSE,4888,mann_whitney,NA,NA,NA,1.652712271,"There is a statistically significant difference in the number of inpatient visits in patients with COPD between the two treatment groups. Specifically, the LAMA group had a lower mean number of inpatient visits per person per month compared to the ICS/LABA group.",
9bdd08b4ab83c65bb72dac0f44a25f47,NCT04172701,NCT04172701,0.0091,Two-sample t-test,OBSERVATIONAL,0,0,0,0,0,All-cause Healthcare Costs: Outpatient Medical Costs (Per Person Per Month),SECONDARY,NA,D029424,A Study in South Korea Using Medical Records to Look at Different Treatments for Chronic Obstructive Airway Disease (COPD),FALSE,4888,t-test,NA,NA,NA,2.3312806,"There is a statistically significant difference in all-cause outpatient medical costs in patients with COPD between the two treatment groups. Specifically, the LAMA group had a lower mean outpatient medical cost per person per month compared to the ICS/LABA group.",
38d5edd0de1045eea743a0fef70c6d92,NCT04172701,NCT04172701,0.0093,Two-sample t-test,OBSERVATIONAL,0,0,0,0,0,Chronic Obstructive Pulmonary Disease (COPD)-Related Healthcare Costs: Outpatient Medical Costs (Per Person Per Month),SECONDARY,NA,D029424,A Study in South Korea Using Medical Records to Look at Different Treatments for Chronic Obstructive Airway Disease (COPD),FALSE,4888,t-test,NA,NA,NA,2.376947195,"There is a statistically significant difference in COPD-related outpatient medical costs in patients with COPD between the two treatment groups. Specifically, the LAMA group had a lower mean COPD-related outpatient medical cost per person per month compared to the ICS/LABA group. ",
1fe0f4ced1d312b6ee4cde7efc679867,NCT04148989,NCT04148989,0.005,Logistic regression,INTERVENTIONAL,0,0,0,0,0,Antibiotic Utilization',OTHER_PRE_SPECIFIED,Differences-in-differences analysis using multivariable logistic regression to estimate the change in outcome after versus before intervention implementation at the intervention site adjusted for the change observed at control sites and for prespecified covariates.,D018805; D014115; D004630,Effects of Code Sepsis Implementation on Emergency Department (ED) Sepsis Care,FALSE,180402,logistic_regression,NA,NA,NA,8.262886955,"The odds ratio for Antibiotic utilization  with implementation of the ""Code Sepsis"" protocol vs usual care is significant in patients ariving into the ED. ""Code Sepsis"" vs usual care increases antibiotic utilization . ",
ef761b880070b230949f59256b1af9ec,NCT03965754,NCT03965754,0.005,Logistic regression,OBSERVATIONAL,0,0,0,0,0,Enrollment (7 Days),PRIMARY,We conducted a logistic regression with the two experimental conditions as dummy variables with the standard email as the reference group (among employees who previously enrolled in the program).,NA,Assessing the Impact of myHealth Rewards Enrollment Emails,FALSE,2850,logistic_regression,NA,NA,NA,1.039978673,"There is significant odds ratio for enrollment in the myHealth Rewards program (yes/no) within 7 full days of the beginning of the intervention (i.e., when the emails are first sent) between the Standard Email Reminder and the Social Norms Email. This suggests that the standard email reminder is better for enrollment in the myHealth Rewards program compared to the social norms email.",
4e69af9ebde6fd69aad5d16aa5a7b060,NCT03958071,NCT03958071,0.0048,Two-sample t-test,OBSERVATIONAL,0,0,0,0,0,Baseline Patient Characteristics: Age,PRIMARY,NA,D011658; D054990; D005355,A Study Based on Medical Records That Looks at the Characteristics of Idiopathic Pulmonary Fibrosis Patients Grouped by the Type of Medication They Are Taking,FALSE,12917,t-test,NA,NA,NA,2.131470032,There is a significant difference in the ages of Pulmonary Fibrosis patients taking Pirfenidone vs those who are untreated.,
2546574178cc7232e8633ded4ffebd6c,NCT03932799,NCT03932799,0.01,Logistic regression,OBSERVATIONAL,0,0,0,0,0,Satisfaction With Pain-related Treatment,SECONDARY,"* Primary predictor is binary (1 for Washington, 0 for Ohio)
* Models survey weighted
* Robust variance estimates",D009293,Comparing State Payer Strategies to Prevent Unsafe Opioid Prescribing,FALSE,2295,logistic_regression,NA,NA,NA,1.738880077,"There is a statistically significant association between being an injured worker in Washington and higher satisfaction with pain-related treatment. Specifically, injured workers in Washington had 25% higher odds of being satisfied with their pain-related treatment compared to injured workers in Ohio. The analysis was conducted 12 months after the injury.",
c51ad7c42d125ac145258aeba4b21230,NCT03930732,NCT03930732,0.0089,Logistic regression,INTERVENTIONAL,0,0,0,1,0,Percentage of Participants With SGRQ Improvement >=4 Points at Week 52,SECONDARY,"Derived from logistic regression model which includes treatment group, region (pooled country), ICS dose, smoking status at screening, and baseline SGRQ total score as covariates. Testing according to the hierarchical testing procedure (only performed if the previous endpoint was statistically significant).",D008171; D008173; D029424; D007249,"Pivotal Study to Assess the Efficacy, Safety and Tolerability of Dupilumab in Patients With Moderate-to-severe COPD With Type 2 Inflammation",FALSE,939,logistic_regression,NA,NA,NA,1.004669964,"There is a statistically significant association between the use of Dupilumab 300 mg q2w and increased odds of achieving a clinically meaningful improvement in SGRQ total score. Specifically, participants who received Dupilumab 300 mg q2w had 1.439 times the odds of achieving a clinically meaningful improvement in their SGRQ total score compared to those who received a placebo. The analysis was conducted over a 52-week period.",
587321ea09ba08dc00f8075359097e3a,NCT03716869,NCT03716869,0.006,Logistic regression,INTERVENTIONAL,0,0,0,0,0,Subgroup Analyses Based on School District Demographic Data,OTHER_PRE_SPECIFIED,NA,D003866; D003863; D003865,Universal vs. Targeted School Screening for Adolescent Major Depressive Disorder,FALSE,12909,logistic_regression,NA,NA,NA,2.606429255,"Based on the statistical analysis, there is a statistically significant association between universal school-based screening for major depressive disorder and increased odds of identifying MDD symptoms.",
19dccecb9ee38e5112f3aa2dc3b46dce,NCT03258645,NCT03258645,0.01,Linear regression,OBSERVATIONAL,0,0,0,0,0,Previous Modified Rankin Scale (mRS) at First Ever Ischaemic Stroke According to Dabigatran Initiation Time Period,SECONDARY,Univariate linear regression with the continuous dependent variable of time-to-initiation for dabigatran in days and independent variable of Modified Rankin Scale (mRS) at index date was applied.,D001281,This Study Uses the SITS Registry to Find Out When Patients With a Heart Rhythm Disorder (Atrial Fibrillation) Start Treatment With Dabigatran After They Had a Stroke,FALSE,1240,linear_regression,NA,NA,NA,1.279744425,There is a statistically significant association between a patient's previous Modified Rankin Scale (mRS) score at the time of their first ever ischaemic stroke and the time to initiation of dabigatran treatment.,
932710adc4a358137a92e93b4d89961c,NCT02896400,NCT02896400,0.01,Logistic regression,INTERVENTIONAL,0,0,0,1,0,Tobacco Abstinence,PRIMARY,"8 arms including BNI (BNI only, BNI+NRT, BNI+QL, BNI+Text, BNI+NRT+QL, BNI+NRT+Text, BNI+QL+Text, BNI+NRT+QL+Text) compared to the 8 arms that do not include BNI (Control, NRT only, QL only, Text only, NRT+QL, NRT+Text, QL+Text, NRT+QL+Text)",D014029,Optimizing Tobacco Dependence Treatment in the Emergency Department,FALSE,1053,logistic_regression,NA,NA,NA,1.179866656,"There is a statistically significant association between the Brief Negotiated Interview (BNI) intervention and increased odds of tobacco abstinence. Specifically, participants who received the BNI intervention had 1.8 times the odds of achieving tobacco abstinence compared to those who did not receive the intervention. ",
1e3a0142fec482f616a94def478f741f,NCT02889796,NCT02889796,0.009,Logistic regression,INTERVENTIONAL,0,0,0,1,0,Percentage of Participants With no Radiographic Progression From Baseline at Week 24,SECONDARY,Filgotinib 200 mg vs Placebo at Week 24 for change in mTSS ≤ 0.,D001168; D001172,Filgotinib in Combination With Methotrexate in Adults With Moderately to Severely Active Rheumatoid Arthritis Who Have an Inadequate Response to Methotrexate,FALSE,950,logistic_regression,NA,NA,NA,1.020618214,"In the FINCH 1 study on Filgotinib in combination with Methotrexate, there is a statistically significant association between the use of Filgotinib 200 mg and a higher rate of no radiographic progression. Specifically, the non-progression rate was 7.0 percentage points higher for participants receiving Filgotinib 200 mg compared to those receiving a placebo. The analysis was conducted at Week 24 from baseline.",
e3d2ab3bd1dd54684e5e89f8856d11eb,NCT02605174,NCT02605174,0.008,Logistic regression,INTERVENTIONAL,0,0,0,1,0,Percentage of Participants With Phonophobia Free,OTHER_PRE_SPECIFIED,NA,D008881,"Three Doses of Lasmiditan (50 mg, 100 mg and 200 mg) Compared to Placebo in the Acute Treatment of Migraine",FALSE,1174,logistic_regression,NA,NA,NA,1.020552742,"There is a statistically significant association between the use of Lasmiditan 50 mg and increased odds of being free from phonophobia. Specifically, participants who received Lasmiditan 50 mg had 1.4 times the odds of being free from phonophobia compared to those who received a placebo. ",
2e910ceb223289c84698ee11242ea0db,NCT02605174,NCT02605174,0.009,Logistic regression,INTERVENTIONAL,0,0,0,1,0,Percentage of Participants Who Are Most Bothersome Symptom (MBS) Free,PRIMARY,NA,D008881,"Three Doses of Lasmiditan (50 mg, 100 mg and 200 mg) Compared to Placebo in the Acute Treatment of Migraine",FALSE,1026,logistic_regression,NA,NA,NA,1.060375466,"There is a statistically significant association between the use of Lasmiditan 50 mg and increased odds of being free from the most bothersome symptom (MBS) of migraine. Specifically, participants who received Lasmiditan 50 mg had 1.4 times the odds of being free from their MBS compared to those who received a placebo. ",
5bcb074c3d91e45c4a483d378ec716d8,NCT02528253,NCT02528253,0.0085,Logistic regression,INTERVENTIONAL,0,0,0,1,0,"Percentage of Participants Achieving RMDQ Reduction of >=30%, >=50%, >=70% and >=90% From Baseline at Weeks 2, 4, 8, 16, 24, 32, 40, 48 and 56: Mixed Baseline Observation Carried Forward (BOCF)/Last Observation Carried Forward (LOCF)",SECONDARY,"Week 40, \>=90%: OR and 95% CI estimated from logistic regression model. Logistic regression model included baseline RMDQ, baseline average LBPI and treatment.",D001416; D017116,A Phase 3 Study of Tanezumab for Chronic Low Back Pain,FALSE,1012,logistic_regression,NA,NA,NA,1.000774256,"There is a statistically significant association between treatment with Pooled Tanezumab 10mg and increased odds of achieving a >=90% improvement in RMDQ. Specifically, patients treated with Pooled Tanezumab 10mg have higher odds of achieving this improvement at Week 40 compared to those treated with Tramadol.",
23a71a9b9005e72d07a172bf91647a4e,NCT02528253,NCT02528253,0.0088,Logistic regression,INTERVENTIONAL,0,0,0,1,0,"Percentage of Participants Achieving Average LBPI Reduction of >=30 Percent(%), >=50%, >=70% and >=90% From Baseline at Weeks 2, 4, 8, 12, 16, 24, 32, 40, 48 and 56: Mixed Baseline Observation Carried Forward (BOCF)/Last Observation Carried Forward (LOCF)",SECONDARY,"Week 12, \>=70%: OR and 95% CI estimated from logistic regression model. Logistic regression model included baseline average LBPI and treatment.",D001416; D017116,A Phase 3 Study of Tanezumab for Chronic Low Back Pain,FALSE,1011,logistic_regression,NA,NA,NA,1.031748694,"There is a statistically significant association between treatment with Pooled Tanezumab 10mg and increased odds of achieving an average LBPI reduction of >70%. Specifically, patients treated with Pooled Tanezumab 10mg have higher odds of achieving this improvement at Week 12 compared to those treated with Tramadol.",
82d2c8d7801b2ea1e1a660c8fc86e107,NCT02528253,NCT02528253,0.0092,Logistic regression,INTERVENTIONAL,0,0,0,1,0,"Percentage of Participants Achieving RMDQ Reduction of >=30%, >=50%, >=70% and >=90% From Baseline at Weeks 2, 4, 8, 16, 24, 32, 40, 48 and 56: Mixed Baseline Observation Carried Forward (BOCF)/Last Observation Carried Forward (LOCF)",SECONDARY,"Week 8, \>=30%: OR and 95% CI estimated from logistic regression model. Logistic regression model included baseline RMDQ, baseline average LBPI and treatment.",D001416; D017116,A Phase 3 Study of Tanezumab for Chronic Low Back Pain,FALSE,1012,logistic_regression,NA,NA,NA,1.074012552,"There is a statistically significant association between treatment with Pooled Tanezumab 10mg and increased odds of achieving a >=30% improvement in RMDQ. Specifically, patients treated with Pooled Tanezumab 10mg have higher odds of achieving this improvement at Week 8 compared to those treated with Tramadol. ",
956efe292be5c31cbff8b58a493a1a08,NCT02528253,NCT02528253,0.0093,Logistic regression,INTERVENTIONAL,0,0,0,1,0,"Percentage of Participants Achieving Improvement of >=2 Points in Patient's Global Assessment (PGA) of Low Back Pain From Baseline at Weeks 2, 4, 8, 16, 24, 32, 40, 48 and 56: Mixed Baseline Observation Carried Forward (BOCF)/ Last Observation CF (LOCF)",SECONDARY,"Week 16: OR and 95% CI estimated from logistic regression model. Logistic regression model included baseline PGA of low back pain, baseline average LBPI, and treatment.",D001416; D017116,A Phase 3 Study of Tanezumab for Chronic Low Back Pain,FALSE,1012,logistic_regression,NA,NA,NA,1.084414011,"There is a statistically significant association between treatment with Pooled Tanezumab 10mg and increased odds of achieving an improvement of >=2 Points in Patient's Global Assessment (PGA) of Low Back Pain. Specifically, patients treated with Pooled Tanezumab 10mg have higher odds of achieving this improvement at Week 16 compared to those treated with Tramadol. ","PGA of LBP assessed by asking question to participants:Considering all ways your low back pain affects you,how are you doing today? They responded on 5 point Likert scale ranging from 1-5, using IRT, where 1=very good (asymptomatic & no limitation of normal activities);2=good (mild symptoms and no limitation of normal activities);3=fair (moderate symptoms and limitation of some normal activities);4=poor (severe symptoms & inability to carry out most normal activities); & 5=very poor (very severe symptoms which are intolerable and inability to carry out all normal activities). Higher scores indicated worsening of condition. % of participants with improvement of at least 2 points from baseline in PGA of LBP were reported. Missing data was imputed using BOCF/LOCF. Pre-specified intent of study for efficacy data up to W16 was to analyze participants who received placebo from Day1 and then received tanezumab 5/10 mg at W16,together,in placebo arm.Data has been reported per four arms."
079e25c5fa0d4770351b4722417bbbe3,NCT02528188,NCT02528188,0.0059,Logistic regression,INTERVENTIONAL,0,0,0,1,0,"Percentage of Participants Meeting Outcome Measures in Arthritis Clinical Trials-Osteoarthritis Research Society International (OMERACT-OARSI) Responder Index at Weeks 2, 4, 8, 16, 24, 32, 40, 48, 56 and 64",SECONDARY,Week 4,D010003; D020370; D015207; D059350,Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee,FALSE,1998,logistic_regression,NA,NA,NA,1.011618072,"There is a statistically significant association between treatment with Tanezumab 2.5mg and increased odds of meeting Outcome Measures in Arthritis Clinical Trials-Osteoarthritis Research Society International (OMERACT-OARSI) Responder Index. Specifically, patients treated with Tanezumab 2.5 mg have higher odds of achieving this improvement at Week 4 compared to those treated with NSAID. ",
52d9a8846526b6d524d188bb2a10b3d1,NCT02528188,NCT02528188,0.006,Logistic regression,INTERVENTIONAL,0,0,0,1,0,"Percentage of Participants Meeting Outcome Measures in Arthritis Clinical Trials-Osteoarthritis Research Society International (OMERACT-OARSI) Responder Index at Weeks 2, 4, 8, 16, 24, 32, 40, 48, 56 and 64",SECONDARY,Week 8,D010003; D020370; D015207; D059350,Long Term Safety and Efficacy Study of Tanezumab in Subjects With Osteoarthritis of the Hip or Knee,FALSE,1994,logistic_regression,NA,NA,NA,1.026023817,"There is a statistically significant association between treatment with Tanezumab 5mg and increased odds of meeting Outcome Measures in Arthritis Clinical Trials-Osteoarthritis Research Society International (OMERACT-OARSI) Responder Index. Specifically, patients treated with Tanezumab 5mg have higher odds of achieving this improvement at Week 12 compared to those treated with NSAID. ","Participants were considered as OMERACT-OARSI responders: if the change (improvement) from baseline to week of interest was >=50 percent and >= 2 units in either WOMAC pain subscale or physical function subscale score; if change (improvement) from baseline to week of interest was >=20 percent and >=1 unit in at least 2 of the following: 1) WOMAC pain subscale score, 2) WOMAC physical function subscale score, 3) PGA of OA. WOMAC pain subscale assess amount of pain experienced (score: 0 [no pain] to 10 [extreme pain], higher score = more pain), WOMAC physical function subscale assess degree of difficulty experienced (score: 0 [no difficulty] to 10 [extreme difficulty], higher score = worse physical function) and PGA of OA (score: 1 [very good] to 5 [very poor], higher score = worse condition). Missing data was imputed using mixed baseline/last observation carried forward (BOCF/LOCF)."
